md,cv,nm,kg,sc,eu,co
ALFA-ROMEO MITO,-170,-250,1145,423,25890,124
AUDI S1,-231,-370,1315,308,35590,166
ABARTH 595,-145,-206,1035,428,18600,139
FORD FIESTA,-140,-210,1128,540,18800,104
FORD FIESTA ST,-182,-240,1163,369,24950,138
MINI COOPER-S,-192,-280,1160,368,25600,136
MINI JOHN-COOPER-WORKS,-231,-320,1205,363,32550,155
OPEL ADAM S ,-150,-220,1103,485,19000,139
OPEL CORSA ,-207,-280,1218,368,23900,174
PEUGEOT 208 GTI,-208,-300,1160,365,26000,125
RENAULT CLIO,-200,-240,1204,367,22870,139
SEAT IBIZA CUPRA,-192,-320,1269,367,22870,139
SUZUKI SWIFT,-136,-160,1040,487,15680,147
VOLKSWAGEN POLO BLUEGT,-150,-250,1212,429,23620,110
